pokedex_number,name,type1,type2,abilities,hp,attack,defense,sp_attack,sp_defense,speed
#00001,Bulbasaur,grass,poison,"['Overgrow', 'Chlorophyll']",45,49,49,65,65,45
#00002,Ivysaur,grass,poison,"['Overgrow', 'Chlorophyll']",60,62,63,80,80,60
#00003,Venusaur,grass,poison,"['Overgrow', 'Chlorophyll']",80,82,83,100,100,80
#00004,Charmander,fire,,"['Blaze', 'Solar Power']",39,52,43,60,50,65
#00005,Charmeleon,fire,,"['Blaze', 'Solar Power']",58,64,58,80,65,80
#00006,Charizard,fire,flying,"['Blaze', 'Solar Power']",78,84,78,109,85,100
#00007,Squirtle,water,,"['Torrent', 'Rain Dish']",44,48,65,50,64,43
#00008,Wartortle,water,,"['Torrent', 'Rain Dish']",59,63,80,65,80,58
#00009,Blastoise,water,,"['Torrent', 'Rain Dish']",79,83,100,85,105,78
#00010,Caterpie,bug,,"['Shield Dust', 'Run Away']",45,30,35,20,20,45
#00011,Metapod,bug,,['Shed Skin'],50,20,55,25,25,30
#00012,Butterfree,bug,flying,"['Compoundeyes', 'Tinted Lens']",60,45,50,90,80,70
#00013,Weedle,bug,poison,"['Shield Dust', 'Run Away']",40,35,30,20,20,50
#00014,Kakuna,bug,poison,['Shed Skin'],45,25,50,25,25,35
#00015,Beedrill,bug,poison,"['Swarm', 'Sniper']",65,90,40,45,80,75
#00016,Pidgey,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",40,45,40,35,35,56
#00017,Pidgeotto,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",63,60,55,50,50,71
#00018,Pidgeot,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",83,80,75,70,70,101
#00019,Rattata,normal,,"['Run Away', 'Guts', 'Hustle']",30,56,35,25,35,72
#00020,Raticate,normal,,"['Run Away', 'Guts', 'Hustle']",55,81,60,50,70,97
#00021,Spearow,normal,flying,"['Keen Eye', 'Sniper']",40,60,30,31,31,70
#00022,Fearow,normal,flying,"['Keen Eye', 'Sniper']",65,90,65,61,61,100
#00023,Ekans,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",35,60,44,40,54,55
#00024,Arbok,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",60,95,69,65,79,80
#00025,Pikachu,electric,,"['Static', 'Lightning Rod']",35,55,40,50,50,90
#00026,Raichu,electric,,"['Static', 'Lightning Rod']",60,90,55,90,80,110
#00027,Sandshrew,ground,,"['Sand Veil', 'Sand Rush']",50,75,85,20,30,40
#00028,Sandslash,ground,,"['Sand Veil', 'Sand Rush']",75,100,110,45,55,65
#00029,Nidoran♀,poison,,"['Poison Point', 'Rivalry', 'Hustle']",55,47,52,40,40,41
#00030,Nidorina,poison,,"['Poison Point', 'Rivalry', 'Hustle']",70,62,67,55,55,56
#00031,Nidoqueen,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",90,92,87,75,85,76
#00032,Nidoran♂,poison,,"['Poison Point', 'Rivalry', 'Hustle']",46,57,40,40,40,50
#00033,Nidorino,poison,,"['Poison Point', 'Rivalry', 'Hustle']",61,72,57,55,55,65
#00034,Nidoking,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",81,102,77,85,75,85
#00035,Clefairy,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",70,45,48,60,65,35
#00036,Clefable,fairy,,"['Cute Charm', 'Magic Guard', 'Unaware']",95,70,73,95,90,60
#00037,Vulpix,fire,,"['Flash Fire', 'Drought']",38,41,40,50,65,65
#00038,Ninetales,fire,,"['Flash Fire', 'Drought']",73,76,75,81,100,100
#00039,Jigglypuff,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",115,45,20,45,25,20
#00040,Wigglytuff,normal,fairy,"['Cute Charm', 'Competitive', 'Frisk']",140,70,45,85,50,45
#00041,Zubat,poison,flying,"['Inner Focus', 'Infiltrator']",40,45,35,30,40,55
#00042,Golbat,poison,flying,"['Inner Focus', 'Infiltrator']",75,80,70,65,75,90
#00043,Oddish,grass,poison,"['Chlorophyll', 'Run Away']",45,50,55,75,65,30
#00044,Gloom,grass,poison,"['Chlorophyll', 'Stench']",60,65,70,85,75,40
#00045,Vileplume,grass,poison,"['Chlorophyll', 'Effect Spore']",75,80,85,110,90,50
#00046,Paras,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",35,70,55,45,55,25
#00047,Parasect,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",60,95,80,60,80,30
#00048,Venonat,bug,poison,"['Compoundeyes', 'Tinted Lens', 'Run Away']",60,55,50,40,55,45
#00049,Venomoth,bug,poison,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",70,65,60,90,75,90
#00050,Diglett,ground,,"['Sand Veil', 'Arena Trap', 'Sand Force']",10,55,25,35,45,95
#00051,Dugtrio,ground,,"['Sand Veil', 'Arena Trap', 'Sand Force']",35,100,50,50,70,120
#00052,Meowth,normal,,"['Pickup', 'Technician', 'Unnerve']",40,45,35,40,40,90
#00053,Persian,normal,,"['Limber', 'Technician', 'Unnerve']",65,70,60,65,65,115
#00054,Psyduck,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",50,52,48,65,50,55
#00055,Golduck,water,,"['Damp', 'Cloud Nine', 'Swift Swim']",80,82,78,95,80,85
#00056,Mankey,fighting,,"['Vital Spirit', 'Anger Point', 'Defiant']",40,80,35,35,45,70
